縣市名稱,鄉鎮市區,學生等級,學校代碼,學校名稱,公/私立,地區屬性,地址,電話,網址,班級數,學生數(總計),學生數(男),學生數(女),原住民學生比例,上學年畢業生數(總計),上學年畢業生數(男),上學年畢業生數(女)
[01]新北市,烏來區,國小,14685,市立德拉楠民族實驗小學,公立,極偏,[233]新北市烏來區福山里李茂岸56號,(02)26616124,https://www.fses.ntpc.edu.tw,6,24,15,9,79.17,4,2,2
[01]新北市,瑞芳區,國小,14687,市立義方國小,公立,偏遠,[224]新北市瑞芳區龍山里逢甲路360號,(02)24970961,https://web.jfps.ntpc.edu.tw,6,85,39,46,2.35,6,3,3
[01]新北市,瑞芳區,國小,14688,市立瑞柑國小,公立,偏遠,[224]新北市瑞芳區明燈路一段18巷13號,(02)24971009,https://www.rges.ntpc.edu.tw,6,72,32,40,1.39,16,6,10
[01]新北市,瑞芳區,國小,14689,市立瑞濱國小,公立,偏遠,[224]新北市瑞芳區瑞濱路34號,(02)24978184,https://www.jpes.ntpc.edu.tw,6,95,49,46,27.37,15,7,8
[01]新北市,瑞芳區,國小,14690,市立九份國小,公立,偏遠,[224]新北市瑞芳區永慶里崙頂路145號,(02)24972263,https://www.jfes.ntpc.edu.tw,6,26,13,13, -,6,2,4
[01]新北市,瑞芳區,國小,14691,市立瓜山國小,公立,偏遠,[224]新北市瑞芳區石山里五號路306號,(02)24962036,https://www.gsps.ntpc.edu.tw,6,21,10,11,14.29,1,1, -
[01]新北市,瑞芳區,國小,14692,市立濂洞國小,公立,偏遠,[224]新北市瑞芳區?洞里洞頂路101巷80號,(02)24961330,https://www.ldes.ntpc.edu.tw/,6,12,8,4,16.67,3,3, -
[01]新北市,瑞芳區,國小,14693,市立猴硐-蒙特梭利實小,公立,偏遠,[224]新北市瑞芳區弓橋里九芎橋路69-1號,(02)24960450,https://www.htes.ntpc.edu.tw,6,32,14,18,3.13,7,2,5
[01]新北市,瑞芳區,國小,14694,市立瑞亭國小,公立,偏遠,[224]新北市瑞芳區四腳亭埔路23號,(02)24971726,https://www.rtes.ntpc.edu.tw,6,59,27,32,1.69,9,4,5
[01]新北市,瑞芳區,國小,14696,市立鼻頭國小,公立,偏遠,[224]新北市瑞芳區鼻頭里鼻頭路99號,(02)24911571,https://www.pitoues.ntpc.edu.tw,6,15,9,6, -,1,1, -
[01]新北市,雙溪區,國小,14697,市立雙溪國小,公立,偏遠,[227]新北市雙溪區共和里東榮街54號,(02)24931005,https://www.sses.ntpc.edu.tw,7,106,56,50,1.89,12,5,7
[01]新北市,雙溪區,國小,14698,市立柑林國小,公立,特偏,[227]新北市雙溪區長源里柑腳3號,(02)24931624,https://www.gles.ntpc.edu.tw,5,12,6,6,16.67,3, -,3
[01]新北市,雙溪區,國小,14699,市立上林國小,公立,偏遠,[227]新北市雙溪區上林里內平林60號,(02)24931671,https://www.ulps.ntpc.edu.tw,6,29,21,8,3.45,3,1,2
[01]新北市,雙溪區,國小,14700,市立牡丹國小,公立,偏遠,[227]新北市雙溪區三貂里政光路3號,(02)24931240,https://www.mdps.ntpc.edu.tw,6,17,10,7, -,2, -,2
[01]新北市,貢寮區,國小,14702,市立貢寮國小,公立,偏遠,[228]新北市貢寮區雙玉里學苑街7號,(02)24941274,https://www.kles.ntpc.edu.tw,6,27,14,13,7.41,6,1,5
[01]新北市,貢寮區,國小,14703,市立福隆國小,公立,偏遠,[228]新北市貢寮區福隆里東興街35號,(02)24991449,https://www.flps.ntpc.edu.tw,6,29,20,9,3.45,3,1,2
[01]新北市,貢寮區,國小,14704,市立澳底國小,公立,偏遠,[228]新北市貢寮區真理里延平街10號,(02)24901432,http://www.aodi.ntpc.edu.tw,6,99,50,49,3.03,19,11,8
[01]新北市,貢寮區,國小,14706,市立和美國小,公立,偏遠,[228]新北市貢寮區和美里龍洞街1之9號,(02)24909431,https://www.hmps.ntpc.edu.tw,3,11,6,5, -,3,1,2
[01]新北市,貢寮區,國小,14708,市立福連國小,公立,偏遠,[228]新北市貢寮區福連里福連街1號,(02)24991194,https://www.fulps.ntpc.edu.tw,4,7,5,2,14.29,1,1, -
[01]新北市,平溪區,國小,14709,市立平溪國小,公立,偏遠,[226]新北市平溪區平溪街56號,(02)24951038,https://www.pses.ntpc.edu.tw,6,21,10,11, -,4,3,1
[01]新北市,平溪區,國小,14710,市立菁桐國小,公立,偏遠,[226]新北市平溪區菁桐街45號,(02)24951009,https://www.tgtes.ntpc.edu.tw,6,34,14,20, -,1,1, -
[01]新北市,平溪區,國小,14711,市立十分國小,公立,偏遠,[226]新北市平溪區十分里十分街157號,(02)24958305,https://www.tsfes.ntpc.edu.tw,5,21,15,6, -,3,2,1
[01]新北市,石門區,國小,14723,市立石門國小,公立,偏遠,[253]新北市石門區尖鹿里中央路9號,(02)26381263,https://www.smes.ntpc.edu.tw,6,57,32,25,1.75,11,2,9
[01]新北市,石門區,國小,14724,市立乾華國小,公立,特偏,[253]新北市石門區茂林里茂林社區74號,(02)26381269,https://web.cwes.ntpc.edu.tw/,6,34,18,16,5.88,3,2,1
[01]新北市,石門區,國小,14725,市立老梅國小,公立,偏遠,[253]新北市石門區老梅里老梅路10號,(02)26381258,https://www.lmes.ntpc.edu.tw,6,69,44,25, -,7,3,4
[01]新北市,林口區,國小,14751,市立嘉寶國小,公立,偏遠,[244]新北市林口區嘉寶里22號,(02)26052716,https://www.jbes.ntpc.edu.tw,6,145,89,56,2.07,15,10,5
[01]新北市,林口區,國小,14753,市立興福國小,公立,偏遠,[244]新北市林口區下福里20鄰10-1號,(02)26062895,https://www.hfps.ntpc.edu.tw,6,121,71,50,2.48,16,7,9
[01]新北市,金山區,國小,14780,市立金美國小,公立,偏遠,[208]新北市金山區忠孝一路111號,(02)24986503,https://www.gmes.ntpc.edu.tw,8,121,60,61,0.83,25,14,11
[02]宜蘭縣,蘇澳鎮,國小,24617,縣立蓬萊國小,公立,偏遠,[270]宜蘭縣蘇澳鎮南澳路85號,(03)9981062,https://www.ples.ilc.edu.tw,6,122,74,48,77.87,12,9,3
[02]宜蘭縣,頭城鎮,國小,24626,縣立大溪國小,公立,偏遠,[261]宜蘭縣頭城鎮濱海路4段250號,(03)9781044,https://www.dses.ilc.edu.tw,6,72,35,37,6.94,9,4,5
[02]宜蘭縣,頭城鎮,國小,24627,縣立大里國小,公立,偏遠,[261]宜蘭縣頭城鎮濱海路七段65號,(03)9781440,https://www.tles.ilc.edu.tw,6,53,31,22,1.89,10,1,9
[02]宜蘭縣,壯圍鄉,國小,24647,縣立大福國小,公立,偏遠,[263]宜蘭縣壯圍鄉大福村大福路一段62巷26號,(03)9301239,https://www.dfes.ilc.edu.tw,6,52,22,30,1.92,10,4,6
[02]宜蘭縣,三星鄉,國小,24663,縣立憲明國小,公立,偏遠,[266]宜蘭縣三星鄉天山村福山街119號,(03)9892049,https://www.shmes.ilc.edu.tw,6,74,32,42,31.08,10,6,4
[02]宜蘭縣,三星鄉,國小,24664,縣立萬富國小,公立,偏遠,[266]宜蘭縣三星鄉萬富村健富路一段309號,(03)9890564,https://www.wfes.ilc.edu.tw,6,66,27,39,4.55,11,9,2
[02]宜蘭縣,大同鄉,國小,24668,縣立四季國小,公立,極偏,[267]宜蘭縣大同鄉四季村和勳巷1號,(03)9809312,https://www.sches.ilc.edu.tw,6,69,39,30,98.55,6,3,3
[02]宜蘭縣,大同鄉,國小,24669,縣立南山國小,公立,極偏,[267]宜蘭縣大同鄉南山村四鄰埤南巷31之3號,(03)9809113,https://www.nses.ilc.edu.tw,6,59,25,34,100,9,3,6
[02]宜蘭縣,大同鄉,國小,24670,縣立大同國小,公立,偏遠,[267]宜蘭縣大同鄉崙埤村朝陽10之9號,(03)9801172,https://www.dtes.ilc.edu.tw,6,39,25,14,84.62,6,3,3
[02]宜蘭縣,大同鄉,國小,24671,縣立寒溪國小,公立,偏遠,[267]宜蘭縣大同鄉寒溪村寒溪巷16號,(03)9517441,https://www.hsies.ilc.edu.tw,6,53,24,29,100,10,5,5
[02]宜蘭縣,南澳鄉,國小,24672,縣立南澳國小,公立,偏遠,[272]宜蘭縣南澳鄉南澳村中正路15號,(03)9981228,https://www.naes.ilc.edu.tw,6,63,33,30,96.83,17,12,5
[02]宜蘭縣,南澳鄉,國小,24673,縣立碧候國小,公立,偏遠,[272]宜蘭縣南澳鄉碧候村自覺巷38號,(03)9981634,https://www.bhoes.ilc.edu.tw,6,97,47,50,95.88,14,8,6
[02]宜蘭縣,南澳鄉,國小,24674,縣立武塔國小,公立,特偏,[272]宜蘭縣南澳鄉武塔村新溪路1號,(03)9981632,https://www.utaes.ilc.edu.tw,6,23,12,11,91.3,7,2,5
[02]宜蘭縣,南澳鄉,國小,24675,縣立澳花國小,公立,極偏,[272]宜蘭縣南澳鄉澳花村中央路19號,(03)9985108,https://www.awes.ilc.edu.tw,6,75,35,40,100,14,6,8
[02]宜蘭縣,南澳鄉,國小,24676,縣立東澳國小,公立,偏遠,[272]宜蘭縣南澳鄉東岳村蘇花路三段209號,(03)9986217,https://www.daes.ilc.edu.tw,6,52,19,33,84.62,8,3,5
[02]宜蘭縣,南澳鄉,國小,24677,縣立金岳國小,公立,特偏,[272]宜蘭縣南澳鄉金岳村 (路) 二號,(03)9981636,https://www.jyes.ilc.edu.tw,6,42,21,21,100,9,3,6
[02]宜蘭縣,南澳鄉,國小,24678,縣立金洋國小,公立,特偏,[272]宜蘭縣南澳鄉金洋村金洋路11號,(03)9981486,https://www.kyes.ilc.edu.tw,6,31,18,13,100,11,4,7
[03]桃園市,大園區,國小,34632,市立沙崙國小,公立,偏遠,[337]桃園市大園區沙崙里九鄰75號之2,(03)3835072,https://www.sales.tyc.edu.tw,6,23,14,9,13.04,5,2,3
[03]桃園市,龜山區,國小,34643,市立龍壽國小,公立,偏遠,[333]桃園市龜山區龍壽里龍校街30號,(03)3296554,https://www.lnses.tyc.edu.tw,7,99,50,49,12.12,21,9,12
[03]桃園市,大溪區,國小,34658,市立百吉國小,公立,偏遠,[335]桃園市大溪區環湖路二段845號,(03)3883956,https://www.pces.tyc.edu.tw,6,122,58,64,36.89,6,3,3
[03]桃園市,新屋區,國小,34702,市立啟文國小,公立,偏遠,[327]桃園市新屋區清華里新文路762號,(03)4772077,http://www.kves.tyc.edu.tw,6,47,24,23,2.13,12,7,5
[03]桃園市,新屋區,國小,34706,市立笨港國小,公立,偏遠,[327]桃園市新屋區笨港里2鄰文學路22號,(03)4769113,http://www.bges.tyc.edu.tw,6,36,19,17,8.33,10,6,4
[03]桃園市,新屋區,國小,34707,市立北湖國小,公立,偏遠,[327]桃園市新屋區石牌里東興路780號,(03)4862415,https://www.phps.tyc.edu.tw,6,42,19,23,11.9,7,5,2
[03]桃園市,新屋區,國小,34709,市立蚵間國小,公立,偏遠,[327]桃園市新屋區後庄村三鄰文化路一段636號,(03)4768413,https://www.kces.tyc.edu.tw,6,79,44,35,1.27,7,4,3
[03]桃園市,新屋區,國小,34710,市立社子國小,公立,偏遠,[327]桃園市新屋區社子里社福路235號,(03)4772444,https://www.szes.tyc.edu.tw,6,53,32,21, -,6,4,2
[03]桃園市,觀音區,國小,34713,市立大潭國小,公立,偏遠,[328]桃園市觀音區大潭里濱海路大潭段687號,(03)4732087,http://www.tates.tyc.edu.tw,6,70,36,34,14.29,7,4,3
[03]桃園市,觀音區,國小,34714,市立保生國小,公立,偏遠,[328]桃園市觀音區仁愛路二段521號,(03)4732054,https://www.bses.tyc.edu.tw,6,40,20,20,2.5,8,4,4
[03]桃園市,觀音區,國小,34718,市立育仁國小,公立,偏遠,[328]桃園市觀音區坑尾里四鄰育仁路二段1號,(03)4732720,https://www.yres.tyc.edu.tw,6,43,21,22,9.3,16,6,10
[03]桃園市,觀音區,國小,34721,市立樹林國小,公立,偏遠,[328]桃園市觀音區新村路二段12號,(03)4830414,https://www.sles.tyc.edu.tw/,7,116,55,61,25.86,11,6,5
[03]桃園市,龍潭區,國小,34728,市立三和國小,公立,偏遠,[325]桃園市龍潭區龍新路三和段1356號,(03)4792154,https://www.shes.tyc.edu.tw,6,50,26,24,8,9,5,4
[03]桃園市,復興區,國小,34730,市立介壽國小,公立,偏遠,[336]桃園市復興區澤仁里中正路33號,(03)3822364,https://www.jses.tyc.edu.tw,6,67,29,38,83.58,16,10,6
[03]桃園市,復興區,國小,34731,市立三民國小,公立,偏遠,[336]桃園市復興區三民里十一鄰57號,(03)3825294,http://www.sames.tyc.edu.tw,6,60,36,24,56.67,8,4,4
[03]桃園市,復興區,國小,34732,市立義盛國小,公立,特偏,[336]桃園市復興區宇內路130號,(03)3822787,https://www.ysps.tyc.edu.tw,6,33,17,16,96.97,11,5,6
[03]桃園市,復興區,國小,34733,市立霞雲國小,公立,特偏,[336]桃園市復興區流霞路151號,(03)3822224,https://www.hyps.tyc.edu.tw,6,31,15,16,96.77,4,1,3
[03]桃園市,復興區,國小,34734,市立奎輝國小,公立,特偏,[336]桃園市復興區羅馬路三段356號,(03)3822177,https://www.khps.tyc.edu.tw,6,58,33,25,94.83,8,4,4
[03]桃園市,復興區,國小,34735,市立光華國小,公立,特偏,[336]桃園市復興區華陵里四鄰12號,(03)3912325,https://www.khes.tyc.edu.tw,6,16,9,7,93.75,3,1,2
[03]桃園市,復興區,國小,34736,市立高義國小,公立,特偏,[336]桃園市復興區高義里三鄰28號,(03)3912251,https://www.gyes.tyc.edu.tw,6,30,15,15,100,3,2,1
[03]桃園市,復興區,國小,34737,市立長興國小,公立,特偏,[336]桃園市復興區羅馬路四段207號,(03)3822178,https://www.cses.tyc.edu.tw,6,34,16,18,100,4,4, -
[03]桃園市,復興區,國小,34738,市立三光國小,公立,特偏,[336]桃園市復興區三光里四鄰8號,(03)3912230,https://www.skes.tyc.edu.tw,6,30,16,14,100,8,3,5
[03]桃園市,復興區,國小,34740,市立羅浮國小,公立,偏遠,[336]桃園市復興區羅浮里三鄰16號,(03)3822269,https://www.lfes.tyc.edu.tw/,7,55,25,30,90.91,13,6,7
[03]桃園市,復興區,國小,34741,市立巴崚國小,公立,特偏,[336]桃園市復興區華陵里九鄰巴陵75號,(03)3912131,https://www.bles.tyc.edu.tw,6,35,14,21,97.14,11,5,6
[04]新竹縣,關西鎮,國小,44608,縣立錦山國小,公立,偏遠,[306]新竹縣關西鎮金山里107號,(03)5478681,https://jses.hcc.edu.tw,6,35,18,17,11.43,7,2,5
[04]新竹縣,關西鎮,國小,44609,縣立玉山國小,公立,偏遠,[306]新竹縣關西鎮玉山里四鄰25號,(03)5476349,https://yses.hcc.edu.tw,6,45,18,27, -,14,7,7
[04]新竹縣,新埔鎮,國小,44613,縣立清水國小,公立,偏遠,[305]新竹縣新埔鎮清水里143號,(03)5899235,https://cies.hcc.edu.tw,6,31,14,17, -,4,1,3
[04]新竹縣,竹東鎮,國小,44625,縣立陸豐國小,公立,偏遠,[310]新竹縣竹東鎮陸豐里48號,(03)5923697,https://lfes.hcc.edu.tw,6,63,29,34,1.59,8,4,4
[04]新竹縣,竹東鎮,國小,44626,縣立瑞峰國小,公立,偏遠,[310]新竹縣竹東鎮上坪里43號,(03)5949052,https://rfes.hcc.edu.tw,6,21,10,11,47.62,2,2, -
[04]新竹縣,橫山鄉,國小,44646,縣立田寮國小,公立,偏遠,[312]新竹縣橫山鄉田寮村田洋街128號,(03)5934164,https://tles.hcc.edu.tw,6,35,15,20,5.71,5,2,3
[04]新竹縣,寶山鄉,國小,44658,縣立寶山國小,公立,偏遠,[308]新竹縣寶山鄉寶山村寶山路二段130號,(03)5761390,https://bses.hcc.edu.tw,6,49,27,22,4.08,9,5,4
[04]新竹縣,寶山鄉,國小,44659,縣立新城國小,公立,偏遠,[308]新竹縣寶山鄉寶新路二段475號,(03)5762707,https://scps.hcc.edu.tw,6,65,32,33,1.54,9,7,2
[04]新竹縣,北埔鄉,國小,44663,縣立大坪國小,公立,偏遠,[314]新竹縣北埔鄉外坪村一鄰8號,(03)5802264,https://dpes.hcc.edu.tw,6,70,37,33, -,12,9,3
[04]新竹縣,峨眉鄉,國小,44664,縣立峨眉國小,公立,偏遠,[315]新竹縣峨眉鄉峨眉街4號,(03)5800674,https://omes.hcc.edu.tw,6,59,30,29, -,9,4,5
[04]新竹縣,峨眉鄉,國小,44665,縣立富興國小,公立,偏遠,[315]新竹縣峨眉鄉富興村太平街8號,(03)5806353,https://fsps.hcc.edu.tw,6,48,22,26, -,4,2,2
[04]新竹縣,尖石鄉,國小,44666,縣立尖石國小,公立,偏遠,[313]新竹縣尖石鄉嘉樂村六鄰7號,(03)5841563,https://gsps.hcc.edu.tw,6,26,12,14,100,7,4,3
[04]新竹縣,尖石鄉,國小,44667,縣立嘉興國小,公立,偏遠,[313]新竹縣尖石鄉嘉樂村三鄰177號,(03)5841004,https://jsps.hcc.edu.tw,6,68,31,37,100,9,1,8
[04]新竹縣,尖石鄉,國小,44668,縣立新樂國小,公立,特偏,[313]新竹縣尖石鄉新樂村一鄰10號,(03)5841500,https://hles.hcc.edu.tw,7,102,42,60,96.08,22,7,15
[04]新竹縣,尖石鄉,國小,44669,縣立梅花國小,公立,特偏,[313]新竹縣尖石鄉梅花村1鄰25號,(03)5841501,https://mhes.hcc.edu.tw,6,52,19,33,98.08,10,5,5
[04]新竹縣,尖石鄉,國小,44670,縣立錦屏國小,公立,特偏,[313]新竹縣尖石鄉錦屏村十鄰116號,(03)5841633,https://gpes.hcc.edu.tw,6,40,21,19,100,8,6,2
[04]新竹縣,尖石鄉,國小,44671,縣立玉峰國小,公立,極偏,[313]新竹縣尖石鄉玉峰村五鄰59號,(03)5847200,https://yfes.hcc.edu.tw,6,31,18,13,100,3,1,2
[04]新竹縣,尖石鄉,國小,44672,縣立石磊國小,公立,極偏,[313]新竹縣尖石鄉玉峰村十鄰49號,(03)5847001,https://sles.hcc.edu.tw,6,26,14,12,96.15,7,4,3
[04]新竹縣,尖石鄉,國小,44673,縣立秀巒國小,公立,極偏,[313]新竹縣尖石鄉秀巒村四鄰19號,(03)5847500,https://slps.hcc.edu.tw,6,46,21,25,76.09,8,4,4
[04]新竹縣,尖石鄉,國小,44674,縣立新光國小,公立,極偏,[313]新竹縣尖石鄉秀巒村八鄰17號,(03)5847706,https://hkps.hcc.edu.tw,3,49,33,16,97.96,7,4,3
[04]新竹縣,五峰鄉,國小,44675,縣立五峰國小,公立,特偏,[311]新竹縣五峰鄉大隘村六鄰123號,(03)5851007,https://wfes.hcc.edu.tw,6,72,37,35,95.83,11,6,5
[04]新竹縣,五峰鄉,國小,44676,縣立桃山國小,公立,極偏,[311]新竹縣五峰鄉桃山村15鄰243號,(03)5856040,https://tses.hcc.edu.tw,6,63,36,27,98.41,8,5,3
[04]新竹縣,五峰鄉,國小,44677,縣立花園國小,公立,特偏,[311]新竹縣五峰鄉花園村八鄰174號,(03)5851091,https://hyes.hcc.edu.tw,6,28,15,13,92.86,4,2,2
[05]苗栗縣,公館鄉,國小,54614,縣立開礦國小,公立,偏遠,[363]苗栗縣公館鄉開礦村九鄰143號,(037)224559,https://kkes.mlc.edu.tw,6,72,40,32, -,8,1,7
[05]苗栗縣,公館鄉,國小,54615,縣立南河國小,公立,偏遠,[363]苗栗縣公館鄉南河村二鄰21號,(037)226806,https://nhps.mlc.edu.tw/,6,46,25,21, -,8,4,4
[05]苗栗縣,銅鑼鄉,國小,54619,縣立新隆國小,公立,偏遠,[366]苗栗縣銅鑼鄉新隆村18號,(037)971102,https://xles.mlc.edu.tw,6,23,12,11,4.35,5,3,2
[05]苗栗縣,銅鑼鄉,國小,54620,縣立興隆國小,公立,偏遠,[366]苗栗縣銅鑼鄉興隆村117號,(037)982804,https://sles.mlc.edu.tw,6,70,31,39,5.71,6,5,1
[05]苗栗縣,三義鄉,國小,54625,縣立鯉魚國小,公立,偏遠,[367]苗栗縣三義鄉鯉魚潭村上山下24號,(037)881154,https://liyues.mlc.edu.tw,6,44,26,18,4.55,4,3,1
[05]苗栗縣,苑裡鎮,國小,54631,縣立藍田國小,公立,偏遠,[358]苗栗縣苑裡鎮泰田里3鄰62號,(037)743504,https://lt.mlc.edu.tw,6,111,52,59,0.9,13,5,8
[05]苗栗縣,苑裡鎮,國小,54633,縣立林森國小,公立,偏遠,[358]苗栗縣苑裡鎮水坡里70號,(037)861084,https://linsenes.mlc.edu.tw,6,43,24,19,2.33,7,4,3
[05]苗栗縣,苑裡鎮,國小,54634,縣立蕉埔國小,公立,偏遠,[358]苗栗縣苑裡鎮蕉埔里八鄰87之2號,(037)741574,https://jpes.mlc.edu.tw,6,48,25,23, -,7,3,4
[05]苗栗縣,通霄鎮,國小,54641,縣立南和國小,公立,偏遠,[357]苗栗縣通霄鎮南和里117號,(037)782304,https://nhes.mlc.edu.tw,6,28,15,13, -,4,2,2
[05]苗栗縣,通霄鎮,國小,54642,縣立坪頂國小,公立,偏遠,[357]苗栗縣通霄鎮坪頂里四鄰50號,(037)782214,https://pdes.mlc.edu.tw,6,23,14,9, -,3,2,1
[05]苗栗縣,通霄鎮,國小,54643,縣立圳頭國小,公立,偏遠,[357]苗栗縣通霄鎮圳頭里60號,(037)754434,https://toes.mlc.edu.tw/,6,35,22,13, -,7,3,4
[05]苗栗縣,通霄鎮,國小,54645,縣立福興武術國(中)小,公立,偏遠,[357]苗栗縣通霄鎮福興里58之2號,(037)782984,https://fushing.mlc.edu.tw,6,62,47,15,4.84,14,11,3
[05]苗栗縣,南庄鄉,國小,54668,縣立南庄國小,公立,偏遠,[353]苗栗縣南庄鄉東村文化路3號,(037)822007,https://nanjuanges.mlc.edu.tw,7,135,78,57,36.3,17,7,10
[05]苗栗縣,南庄鄉,國小,54669,縣立田美國小,公立,偏遠,[353]苗栗縣南庄鄉田美村九鄰191號,(037)822445,https://tmes.mlc.edu.tw,6,43,18,25,13.95,9,6,3
[05]苗栗縣,南庄鄉,國小,54670,縣立南埔國小,公立,偏遠,[353]苗栗縣南庄鄉南富村134號,(037)822324,https://nanpues.mlc.edu.tw,6,59,31,28,5.08,9,5,4
[05]苗栗縣,南庄鄉,國小,54671,縣立東河國小,公立,特偏,[353]苗栗縣南庄鄉東河村三鄰132號,(037)823423,https://www.donghe.mlc.edu.tw,6,43,21,22,90.7,11,7,4
[05]苗栗縣,南庄鄉,國小,54672,縣立蓬萊國小,公立,特偏,[353]苗栗縣南庄鄉蓬萊村19鄰118號,(037)823385,https://penla.mlc.edu.tw,6,30,13,17,66.67,5,1,4
[05]苗栗縣,大湖鄉,國小,54693,縣立大南國小,公立,偏遠,[364]苗栗縣大湖鄉大南村7鄰大南勢15號,(037)992813,https://dnes.mlc.edu.tw,6,21,11,10,57.14,9,5,4
[05]苗栗縣,大湖鄉,國小,54694,縣立東興國小,公立,偏遠,[364]苗栗縣大湖鄉東興村下湖37號,(037)992815,https://dss.mlc.edu.tw,6,19,12,7, -,5,3,2
[05]苗栗縣,大湖鄉,國小,54695,縣立武榮國小,公立,偏遠,[364]苗栗縣大湖鄉義和村淋漓坪77號,(037)992816,https://we.mlc.edu.tw,5,11,8,3,9.09, -, -, -
[05]苗栗縣,大湖鄉,國小,54696,縣立新開國小,公立,偏遠,[364]苗栗縣大湖鄉新開村25號,(037)951210,https://shinkaies.mlc.edu.tw,6,22,17,5, -,5,2,3
[05]苗栗縣,大湖鄉,國小,54697,縣立栗林國小,公立,偏遠,[364]苗栗縣大湖鄉栗林村四份61號,(037)951335,https://lilin.mlc.edu.tw,6,23,14,9,13.04,3,3, -
[05]苗栗縣,獅潭鄉,國小,54698,縣立獅潭國小,公立,偏遠,[354]苗栗縣獅潭鄉新店村129號,(037)931305,https://st.mlc.edu.tw,6,44,18,26,9.09,6,1,5
[05]苗栗縣,獅潭鄉,國小,54699,縣立豐林國小,公立,偏遠,[354]苗栗縣獅潭鄉新豐村四鄰56號,(037)931664,https://fl.mlc.edu.tw,6,33,20,13,3.03,7,5,2
[05]苗栗縣,獅潭鄉,國小,54700,縣立永興國小,公立,偏遠,[354]苗栗縣獅潭鄉永興村6鄰55-1號,(037)931292,https://yungshinges.mlc.edu.tw,6,16,8,8,43.75,3,1,2
[05]苗栗縣,卓蘭鎮,國小,54702,縣立內灣國小,公立,偏遠,[369]苗栗縣卓蘭鎮內灣里120號,(04)25892094,https://nwes.mlc.edu.tw,6,60,35,25,5,6,4,2
