標題,日期,作者
[新聞] 大谷翔平「220億合約」有多貴？牛丼可,12/11,JHENGKUNLIN
[分享] 藍鳥的最終報價與道奇接近,12/11,polanco
[新聞] 大谷與道奇簽約，經紀人約有50億日圓報酬,12/11,Ulysses
[新聞] 大谷公布簽約瞬間 道奇投手：球隊群組裡,12/11,tomlishan
[新聞] 明年3月飛韓國看大谷翔平　道奇海外賽預,12/11,Axwell
[新聞] SPC-大谷7億大約影響洋基留人？ 紐媒預測,12/11,polanco
[新聞] 破紀錄大約簽大谷翔平！　傳道奇對山本,12/11,LIN9
[新聞] MLB》再見了大谷翔平！天使球場瀰漫離別,12/11,LIN9
[分享] 沒搶到大谷、爭奪山本由伸 藍鳥參戰,12/11,leonjapan
[新聞] MLB》大谷翔平明年6月21日首度對決天使,12/11,JHENGKUNLIN
[新聞] 幫道奇減少奢侈稅負擔 大谷翔平主動提議,12/11,kim
[新聞] 錯失大谷翔平　大都會老闆：經紀人從未聯,12/11,Toyosushij
[新聞] MLB》憂心大谷翔平加盟冷門球隊 日本店家,12/11,ccf52881
[ANSI] 大谷翔平（道奇ver.）,12/11,aobocodo2004
[分享] Bob Nightengale-從大谷事件探討媒體亂象,12/10,Axwell
[新聞] 被大谷翔平改寫肥約紀錄 馬霍莫斯也嚇到了,12/10,Intelnet
[討論] 大谷翔平看到這場冠軍賽 心裡會想什麼,12/10,kelosh22
[新聞] 一夕成為億萬富翁 大谷翔平：感覺好好笑,12/10,iam168888888
